age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
56,management,married,tertiary,no,-762,yes,yes,cellular,11,jul,348,2,-1,0,unknown,0
22,student,single,secondary,no,216,no,no,cellular,8,feb,363,1,187,1,success,1
57,entrepreneur,married,tertiary,no,1681,no,no,cellular,25,jul,159,1,-1,0,unknown,0
28,admin,single,secondary,no,1408,no,no,cellular,13,aug,166,1,78,2,failure,0
73,retired,married,unknown,no,3443,no,no,telephone,4,sep,770,3,-1,0,unknown,1
31,management,single,tertiary,no,130,no,no,cellular,6,aug,160,1,-1,0,unknown,0
40,technician,single,unknown,no,3652,yes,no,unknown,14,may,1028,2,-1,0,unknown,1
30,blue,married,primary,no,190,no,no,telephone,12,may,29,2,370,1,failure,0
37,self,single,tertiary,no,3759,no,no,unknown,26,jun,650,2,-1,0,unknown,0
45,management,divorced,tertiary,no,-255,yes,yes,unknown,28,may,128,2,-1,0,unknown,0
78,retired,married,unknown,no,38,no,no,telephone,4,aug,156,1,1,3,other,0
28,technician,single,secondary,no,2335,no,no,cellular,13,may,624,1,-1,0,unknown,1
31,technician,married,secondary,no,1072,no,no,cellular,19,aug,141,3,-1,0,unknown,0
40,management,divorced,tertiary,no,205,no,no,cellular,25,jul,357,1,-1,0,unknown,0
38,management,married,tertiary,no,-558,yes,no,cellular,21,jul,533,1,-1,0,unknown,0
28,admin,single,secondary,no,1823,no,no,cellular,29,jan,237,1,-1,0,unknown,0
40,management,married,secondary,no,4396,no,no,cellular,12,aug,432,3,-1,0,unknown,1
43,housemaid,divorced,primary,no,0,no,no,unknown,11,jun,643,1,-1,0,unknown,0
34,services,married,secondary,no,0,no,no,cellular,7,jul,160,3,-1,0,unknown,0
45,technician,married,tertiary,no,2359,no,no,cellular,18,aug,199,7,-1,0,unknown,0
37,services,married,secondary,no,345,yes,yes,cellular,16,apr,114,1,148,1,failure,0
46,blue,married,secondary,no,3999,no,no,cellular,20,nov,202,1,-1,0,unknown,0
30,admin,single,secondary,no,939,yes,no,cellular,17,apr,207,1,-1,0,unknown,0
28,technician,single,tertiary,no,387,yes,no,cellular,20,apr,205,1,82,1,failure,1
26,entrepreneur,single,secondary,no,101,yes,no,cellular,5,feb,810,1,268,1,failure,1
35,technician,single,tertiary,no,756,yes,no,unknown,16,jun,14,14,-1,0,unknown,0
31,management,single,tertiary,no,533,no,no,cellular,12,nov,90,3,93,6,success,1
55,blue,married,primary,no,3297,yes,yes,telephone,30,apr,96,1,-1,0,unknown,0
36,management,married,secondary,no,1736,yes,no,unknown,20,jun,63,1,-1,0,unknown,0
37,services,married,secondary,no,343,yes,yes,cellular,7,jul,74,7,-1,0,unknown,0
50,management,married,primary,no,791,no,no,unknown,9,jun,17,5,-1,0,unknown,0
51,admin,divorced,secondary,no,14215,no,no,cellular,13,aug,131,2,-1,0,unknown,0
38,technician,married,secondary,no,0,no,no,cellular,25,aug,431,5,-1,0,unknown,0
74,retired,married,tertiary,no,6027,no,no,cellular,14,aug,233,2,-1,0,unknown,0
43,unknown,married,unknown,no,1517,no,no,unknown,20,jun,45,1,-1,0,unknown,0
38,management,married,tertiary,no,389,yes,no,unknown,6,may,262,1,-1,0,unknown,0
46,admin,divorced,secondary,no,3280,no,no,cellular,1,jun,110,1,-1,0,unknown,0
33,management,married,tertiary,no,349,yes,yes,cellular,28,jul,62,3,-1,0,unknown,0
52,self,married,primary,no,314,yes,no,cellular,4,feb,131,2,-1,0,unknown,0
36,admin,married,secondary,no,953,yes,no,cellular,17,feb,38,1,-1,0,unknown,0
29,blue,single,secondary,no,348,yes,no,unknown,9,may,185,2,-1,0,unknown,0
41,admin,married,primary,no,1314,yes,no,cellular,20,apr,159,1,326,1,failure,0
50,management,divorced,tertiary,no,0,no,no,cellular,25,aug,57,3,-1,0,unknown,0
57,services,single,secondary,no,0,no,no,cellular,6,aug,355,1,-1,0,unknown,1
